Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2011,CALDAS,PLATANO,"17494,26","205833,7","11,77","7,21","4,91",19.5
2011,RISARALDA,YUCA,"182,7",4134,"22,63","0,23","0,11","20,1"
2011,RISARALDA,CAÑA PANELERA,"3800,3","26114,78","6,87","2,15","1,93","20,1"
2011,RISARALDA,FLORES Y FOLLAJES,"224,27","2399,3","10,7","62,72","61,62","20,1"
2011,ANTIOQUIA,AGUACATE,3196,"28256,73","8,84","13,15","13,04",22.5
2011,CALDAS,AGUACATE,"1723,27","15008,67","8,71","6,98","7,03",19.5
2011,ANTIOQUIA,CACAO,"10821,7","6294,96","0,58","8,41","8,13",22.5
2011,CALDAS,CACAO,"2185,68","1601,01","0,73","2,14","1,64",19.5
2011,ANTIOQUIA,YUCA,"7421,04","109018,57","14,69","5,97","4,3",22.5
2011,CALDAS,YUCA,"869,4","12881,2","14,82","0,7","0,5",19.5
2011,ANTIOQUIA,CAÑA PANELERA,"36242,2","148949,27","4,11","12,24","18,45",22.5
2011,CALDAS,CAÑA PANELERA,10633,"49179,75","4,63","4,04","5,41",19.5
2011,ANTIOQUIA,FLORES Y FOLLAJES,18,70,"3,89","1,83","4,95",22.5
2012,CALDAS,FRIJOL,"1516,8","2800,79","1,85","2,6","1,63",19.7
2012,ANTIOQUIA,BANANO,"1294,5","11716,5","9,05","4,09","4,45",22.7
2012,CALDAS,BANANO,"1028,25","12805,89","12,45","4,47","3,54",19.7
2012,ANTIOQUIA,PLATANO,"45962,3","288330,45","6,27","9,35","12,08",22.7
2012,CALDAS,PLATANO,"19911,7","214544,92","10,77","6,96","5,23",19.7
2012,RISARALDA,FRIJOL,"814,17","870,13","1,07","0,81","0,87","20,4"
2012,RISARALDA,BANANO,180,4023,"22,35","1,4","0,62","20,4"
2012,RISARALDA,PLATANO,"20238,78","173361,33","8,57","5,62","5,32","20,4"
2012,RISARALDA,AGUACATE,"1260,95","12458,24","9,88","4,88","4,55","20,4"
2012,RISARALDA,CACAO,"838,3","661,91","0,79","0,82","0,55","20,4"
2012,RISARALDA,YUCA,"173,3","3619,7","20,89","0,18","0,1","20,4"
2012,RISARALDA,CAÑA PANELERA,"3802,74","25779,18","6,78","2,06","1,88","20,4"
2012,RISARALDA,FLORES Y FOLLAJES,"98,4","1937,7","19,69","40,65","20,71","20,4"
2012,ANTIOQUIA,AGUACATE,"4082,7","38055,6","9,32","14,9","14,74",22.7
2012,CALDAS,AGUACATE,"2431,9","23795,7","9,78","9,32","8,78",19.7
2012,ANTIOQUIA,CACAO,"13638,6","7761,75","0,57","9,57","9,02",22.7
2012,CALDAS,CACAO,"2341,61","1538,2","0,66","1,9","1,55",19.7
2012,ANTIOQUIA,YUCA,"6426,6","93880,9","14,61","4,79","3,55",22.7
2012,CALDAS,YUCA,"1012,16","16417,4","16,22","0,84","0,56",19.7
2012,ANTIOQUIA,CAÑA PANELERA,"37739,7","156191,3","4,14","12,48","18,7",22.7
2012,CALDAS,CAÑA PANELERA,"11219,9","51368,11","4,58","4,11","5,56",19.7
2012,ANTIOQUIA,FLORES Y FOLLAJES,25,"102,6","4,1","2,15","5,26",22.7
2012,CALDAS,FLORES Y FOLLAJES,5,20,4,"0,42","1,05",19.7
2013,CALDAS,FRIJOL,"1424,04","2905,46","2,04","2,87","1,61",19.6
2013,ANTIOQUIA,BANANO,"1187,5",9647,"8,12","3,4","4,1",22.6
2013,CALDAS,BANANO,547,"6855,5","12,53","2,41","1,89",19.6
2013,ANTIOQUIA,PLATANO,"41111,95","284639,85","6,92","8,85","10,79",22.6
